id_fita,nom_fita
15.8,Adoptar mesures per prevenir la introducció d'espècies exòtiques invasores i reduir-ne significativament els efectes en els ecosistemes terrestres i aquàtics i controlar o erradicar les espècies prioritàries.
15.9,"Integrar els valors dels ecosistemes i la diversitat biològica en la planificació local, els processos de desenvolupament, les estratègies de reducció de la pobresa i la comptabilitat."
15.a,Mobilitzar els recursos financers per conservar i utilitzar de forma sostenible la diversitat biològica i els ecosistemes
16.1,"Reduir considerablement totes les formes de violència i les taxes de mortalitat, amb una especial atenció als menors i a les persones grans."
16.2,Integrada amb la fita 16.1
16.3,Promoure iniciatives per millorar l'accés equitatiu a la justícia i a mecanismes de mediació amb especial atenció als col·lectius més vulnerables.
16.5,"Reforçar les mesures locals contra la corrupció, millorar la transparència i promoure la responsabilitat en la gestió pública."
16.6,"Assolir institucions eficaces, responsables, transparents i que rendeixin comptes."
16.7,"Garantir l'adopció de decisions inclusives, participatives i representatives que responguin a les necessitats de la ciutadania."
16.10,Garantir l’accés públic a la informació i protegir les llibertats fonamentals.
16.b,Promoure i aplicar reglamentació i normativa local no discriminatòria en favor del desenvolupament sostenible
17.1,Enfortir l'autonomia i la capacitat econòmica i fiscal dels governs locals.
17.2,"Promoure la cooperació al desenvolupament i garantir el 0,7% dels ingressos en aquest àmbit."
17.6,"Augmentar l'intercanvi de coneixement i millorar la cooperació regional i internacional, Nord-sud, Sud-Sud i triangular, en matèria de desenvolupament econòmic, social i mediambiental."
17.14,Millorar la coherència de les polítiques per al desenvolupament sostenible.
17.16,Integrada amb la fita 17.17
17.17,"Promoure la constitució d'aliances eficaces en els àmbits públic, publicoprivat i de la societat civil que impulsin el Desenvolupament Sostenible"
17.18,"Millorar la disponibilitat de dades d’alta qualitat, oportunes i fiables"
17.19,Fomentar i donar suport a la creació de sistemes seguiment i indicadors que permetin mesurar els progresos en l'assoliment dels ODS.
