codi_indicador,any,codi_municipi,nom_municipi,valor_final
9.8,2021,8282,Tiana,"0,98"
9.8,2021,8283,Tona,"0,98"
9.8,2021,8284,Tordera,"0,80"
9.8,2021,8285,Torelló,"1,00"
9.8,2021,8286,La Torre de Claramunt,"1,00"
9.8,2021,8287,Torrelavit,"0,96"
9.8,2021,8288,Torrelles de Foix,"0,97"
9.8,2021,8289,Torrelles de Llobregat,"0,97"
9.8,2021,8290,Ullastrell,"0,94"
9.8,2021,8291,Vacarisses,"0,99"
9.8,2021,8292,Vallbona d'Anoia,"0,99"
9.8,2021,8293,Vallcebre,"0,00"
9.8,2021,8294,Vallgorguina,"0,82"
9.8,2021,8295,Vallirana,"0,99"
9.8,2021,8296,Vallromanes,"0,89"
9.8,2021,8297,Veciana,"0,10"
9.8,2021,8298,Vic,"1,00"
9.8,2021,8299,Vilada,"0,92"
9.8,2021,8300,Viladecavalls,"0,98"
9.8,2021,8301,Viladecans,"1,00"
9.8,2021,8302,Vilanova del Camí,"1,00"
9.8,2021,8303,Vilanova de Sau,"0,45"
9.8,2021,8304,Vilobí del Penedès,"1,00"
9.8,2021,8305,Vilafranca del Penedès,"0,99"
9.8,2021,8306,Vilalba Sasserra,"0,95"
9.8,2021,8307,Vilanova i la Geltrú,"0,97"
9.8,2021,8308,Viver i Serrateix,"0,00"
9.8,2021,8901,Rupit i Pruit,"0,69"
9.8,2021,8902,Vilanova del Vallès,"0,99"
9.8,2021,8903,Sant Julià de Cerdanyola,"0,00"
9.8,2021,8904,Badia del Vallès,"1,00"
9.8,2021,8905,La Palma de Cervelló,"0,98"
9.8,2022,8001,Abrera,"0,98"
9.8,2022,8002,Aguilar de Segarra,"0,00"
9.8,2022,8003,Alella,"0,98"
9.8,2022,8004,Alpens,"0,00"
9.8,2022,8005,L'Ametlla del Vallès,"0,97"
9.8,2022,8006,Arenys de Mar,"0,97"
9.8,2022,8007,Arenys de Munt,"0,93"
9.8,2022,8008,Argençola,"0,00"
9.8,2022,8009,Argentona,"0,99"
9.8,2022,8010,Artés,"0,95"
9.8,2022,8011,Avià,"0,90"
9.8,2022,8012,Avinyó,"0,89"
9.8,2022,8013,Avinyonet del Penedès,"0,97"
9.8,2022,8014,Aiguafreda,"0,99"
9.8,2022,8015,Badalona,"1,00"
9.8,2022,8016,Bagà,"0,78"
9.8,2022,8017,Balenyà,"0,98"
9.8,2022,8018,Balsareny,"0,96"
9.8,2022,8019,Barcelona,"1,00"
9.8,2022,8020,Begues,"0,97"
9.8,2022,8021,Bellprat,"0,00"
9.8,2022,8022,Berga,"0,98"
9.8,2022,8023,Bigues i Riells del Fai,"0,89"
9.8,2022,8024,Borredà,"0,00"
9.8,2022,8025,El Bruc,"0,58"
9.8,2022,8026,El Brull,"0,48"
9.8,2022,8027,Les Cabanyes,"1,00"
9.8,2022,8028,Cabrera d'Anoia,"0,65"
9.8,2022,8029,Cabrera de Mar,"0,94"
9.8,2022,8030,Cabrils,"0,97"
9.8,2022,8031,Calaf,"0,99"
9.8,2022,8032,Caldes d'Estrac,"0,99"
9.8,2022,8033,Caldes de Montbui,"0,98"
9.8,2022,8034,Calders,"0,98"
9.8,2022,8035,Calella,"1,00"
9.8,2022,8036,Calonge de Segarra,"0,01"
9.8,2022,8037,Calldetenes,"0,93"
9.8,2022,8038,Callús,"0,95"
9.8,2022,8039,Campins,"0,00"
9.8,2022,8040,Canet de Mar,"1,00"
9.8,2022,8041,Canovelles,"0,99"
9.8,2022,8042,Cànoves i Samalús,"0,95"
9.8,2022,8043,Canyelles,"0,98"
9.8,2022,8044,Capellades,"0,90"
9.8,2022,8045,Capolat,"0,00"
9.8,2022,8046,Cardedeu,"1,00"
9.8,2022,8047,Cardona,"0,63"
9.8,2022,8048,Carme,"0,08"
9.8,2022,8049,Casserres,"0,59"
9.8,2022,8050,Castellar del Riu,"0,00"
9.8,2022,8051,Castellar del Vallès,"0,99"
9.8,2022,8052,Castellar de n'Hug,"0,00"
9.8,2022,8053,Castellbell i el Vilar,"0,93"
9.8,2022,8054,Castellbisbal,"0,98"
9.8,2022,8055,Castellcir,"0,64"
9.8,2022,8056,Castelldefels,"1,00"
9.8,2022,8057,Castell de l'Areny,"0,00"
9.8,2022,8058,Castellet i la Gornal,"0,53"
9.8,2022,8059,Castellfollit del Boix,"0,00"
9.8,2022,8060,Castellfollit de Riubregós,"0,00"
9.8,2022,8061,Castellgalí,"0,93"
9.8,2022,8062,Castellnou de Bages,"0,92"
9.8,2022,8063,Castellolí,"0,00"
9.8,2022,8064,Castellterçol,"0,97"
9.8,2022,8065,Castellví de la Marca,"0,93"
9.8,2022,8066,Castellví de Rosanes,"0,90"
9.8,2022,8067,Centelles,"0,00"
9.8,2022,8068,Cervelló,"0,98"
9.8,2022,8069,Collbató,"0,98"
9.8,2022,8070,Collsuspina,"0,00"
