any,codi_municipi,valor_final
2022,08046,8.33
2022,08047,7.67
2022,08048,4.67
2022,08049,3.33
2022,08050,4.00
2022,08051,7.00
2022,08052,3.67
2022,08053,5.67
2022,08054,7.67
2022,08055,5.83
2022,08056,7.83
2022,08057,5.67
2022,08058,5.33
2022,08059,5.00
2022,08060,3.33
2022,08061,4.50
2022,08062,4.00
2022,08063,5.67
2022,08064,8.00
2022,08065,5.67
2022,08066,7.33
2022,08067,7.33
2022,08068,6.67
2022,08069,5.00
2022,08070,5.00
2022,08071,6.00
2022,08072,4.67
2022,08073,7.17
2022,08074,6.33
2022,08075,6.00
2022,08076,6.67
2022,08077,7.00
2022,08078,5.00
2022,08079,5.00
2022,08080,6.00
2022,08081,4.00
2022,08082,5.17
2022,08083,4.33
2022,08084,6.33
2022,08085,5.67
2022,08086,6.33
2022,08087,2.67
2022,08088,6.67
2022,08089,6.67
2022,08090,5.67
2022,08091,3.67
2022,08092,6.00
2022,08093,3.67
2022,08094,6.00
2022,08095,3.00
2022,08096,7.50
2022,08097,4.17
2022,08098,5.17
2022,08099,6.33
2022,08100,2.33
2022,08101,7.17
2022,08102,6.67
2022,08103,5.33
2022,08104,4.67
2022,08105,8.00
2022,08106,7.67
2022,08107,8.33
2022,08108,2.33
2022,08109,5.00
2022,08110,9.00
2022,08111,4.33
2022,08112,6.33
2022,08113,7.50
2022,08114,7.00
2022,08115,7.67
2022,08116,4.17
2022,08117,6.33
2022,08118,6.33
2022,08119,5.17
2022,08120,6.33
2022,08121,7.17
2022,08122,4.33
2022,08123,6.67
2022,08124,7.83
2022,08125,8.00
2022,08126,7.67
2022,08127,5.00
2022,08128,2.00
2022,08129,2.00
2022,08130,4.00
2022,08131,7.33
2022,08132,5.00
2022,08133,2.83
2022,08134,7.33
2022,08135,4.67
2022,08136,5.67
2022,08137,4.67
2022,08138,3.33
2022,08139,2.00
2022,08140,4.00
2022,08141,5.67
2022,08142,3.00
2022,08143,5.67
2022,08144,5.33
2022,08145,6.33
2022,08146,1.50
2022,08147,6.00
2022,08148,7.00
2022,08149,4.17
2022,08150,4.67
2022,08151,3.00
2022,08152,2.83
2022,08153,4.33
2022,08154,6.33
2022,08155,5.67
2022,08156,7.67
2022,08157,5.00
2022,08158,4.33
2022,08159,8.00
2022,08160,5.67
2022,08161,5.67
2022,08162,3.50
2022,08163,6.33
2022,08164,5.67
2022,08165,6.33
2022,08166,5.00
2022,08167,5.33
2022,08168,3.67
2022,08169,8.17
2022,08170,4.33
2022,08171,5.33
2022,08172,6.33
2022,08174,5.67
2022,08175,2.83
2022,08176,2.00
2022,08177,4.00
2022,08178,4.67
2022,08179,5.67
2022,08180,7.67
2022,08181,7.33
2022,08182,6.17
2022,08183,5.33
2022,08184,7.83
2022,08185,5.00
2022,08187,8.50
2022,08188,4.67
2022,08189,4.17
2022,08190,4.67
