nom,codi,comarca,zona,rural,any
,08094,,,No rural,2025
,08096,,,No rural,2025
,08098,,,No rural,2025
,08100,,,No rural,2025
,08101,,,No rural,2025
,08102,,,No rural,2025
,08104,,,No rural,2025
,08105,,,No rural,2025
,08106,,,No rural,2025
,08107,,,No rural,2025
,08108,,,No rural,2025
,08110,,,No rural,2025
,08112,,,No rural,2025
,08113,,,No rural,2025
,08114,,,No rural,2025
,08115,,,No rural,2025
,08116,,,No rural,2025
,08117,,,No rural,2025
,08118,,,No rural,2025
,08119,,,No rural,2025
,08120,,,No rural,2025
,08121,,,No rural,2025
,08122,,,No rural,2025
,08123,,,No rural,2025
,08124,,,No rural,2025
,08125,,,No rural,2025
,08126,,,No rural,2025
,08127,,,No rural,2025
,08135,,,No rural,2025
,08136,,,No rural,2025
,08138,,,No rural,2025
,08140,,,No rural,2025
,08141,,,No rural,2025
,08142,,,No rural,2025
,08143,,,No rural,2025
,08145,,,No rural,2025
,08146,,,No rural,2025
,08147,,,No rural,2025
,08148,,,No rural,2025
,08155,,,No rural,2025
,08156,,,No rural,2025
,08157,,,No rural,2025
,08158,,,No rural,2025
,08159,,,No rural,2025
,08161,,,No rural,2025
,08162,,,No rural,2025
,08163,,,No rural,2025
,08164,,,No rural,2025
,08165,,,No rural,2025
,08166,,,No rural,2025
,08167,,,No rural,2025
,08169,,,No rural,2025
,08170,,,No rural,2025
,08171,,,No rural,2025
,08172,,,No rural,2025
,08175,,,No rural,2025
,08177,,,No rural,2025
,08180,,,No rural,2025
,08181,,,No rural,2025
,08182,,,No rural,2025
,08183,,,No rural,2025
,08184,,,No rural,2025
,08187,,,No rural,2025
,08191,,,No rural,2025
,08192,,,No rural,2025
,08194,,,No rural,2025
,08196,,,No rural,2025
,08197,,,No rural,2025
,08198,,,No rural,2025
,08200,,,No rural,2025
,08202,,,No rural,2025
,08203,,,No rural,2025
,08204,,,No rural,2025
,08205,,,No rural,2025
,08207,,,No rural,2025
,08208,,,No rural,2025
,08209,,,No rural,2025
,08210,,,No rural,2025
,08211,,,No rural,2025
,08213,,,No rural,2025
,08214,,,No rural,2025
,08215,,,No rural,2025
,08217,,,No rural,2025
,08218,,,No rural,2025
,08219,,,No rural,2025
,08220,,,No rural,2025
,08221,,,No rural,2025
,08222,,,No rural,2025
,08223,,,No rural,2025
,08227,,,No rural,2025
,08230,,,No rural,2025
,08231,,,No rural,2025
,08232,,,No rural,2025
,08233,,,No rural,2025
,08234,,,No rural,2025
,08235,,,No rural,2025
,08236,,,No rural,2025
,08237,,,No rural,2025
,08238,,,No rural,2025
,08240,,,No rural,2025
,08244,,,No rural,2025
,08245,,,No rural,2025
,08246,,,No rural,2025
,08248,,,No rural,2025
,08250,,,No rural,2025
,08251,,,No rural,2025
,08252,,,No rural,2025
,08254,,,No rural,2025
,08259,,,No rural,2025
,08260,,,No rural,2025
,08261,,,No rural,2025
,08262,,,No rural,2025
,08263,,,No rural,2025
,08264,,,No rural,2025
,08265,,,No rural,2025
,08266,,,No rural,2025
,08267,,,No rural,2025
,08269,,,No rural,2025
,08270,,,No rural,2025
,08273,,,No rural,2025
,08274,,,No rural,2025
,08278,,,No rural,2025
,08279,,,No rural,2025
,08281,,,No rural,2025
,08282,,,No rural,2025
,08283,,,No rural,2025
,08284,,,No rural,2025
,08285,,,No rural,2025
,08286,,,No rural,2025
,08288,,,No rural,2025
,08289,,,No rural,2025
,08290,,,No rural,2025
,08291,,,No rural,2025
,08294,,,No rural,2025
,08295,,,No rural,2025
,08296,,,No rural,2025
,08298,,,No rural,2025
,08300,,,No rural,2025
,08301,,,No rural,2025
,08302,,,No rural,2025
,08305,,,No rural,2025
,08307,,,No rural,2025
,08902,,,No rural,2025
,08904,,,No rural,2025
,08905,,,No rural,2025
